version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,dlhdwan,system_prompt.md,v0,f0c107a9d7a14032c948d642d7c36f2a85cb6d69a099530093a874c94d472446,011c271ef0bbad1e19a5d7b660b2ed481b7d72950f1faa8a0798c3bdd8784ee1,baseline,Lập baseline đo đạc ban đầu với Groq,case_accuracy,0.00,0.55,runs/v0_B_base_groq_20260729T101251117761.json
v1,dlhdwan,system_prompt.md,v1,8ae7b0255977ffaca4397daceec918d2bf25d06e9f1599a1dcb685ec920b0cb7,d67ba57e92d3b28d2cffded2ff1eee043c9979a02db4719fe85d9ed2cf9e2bc1,missing_info_fix,Bổ sung quy tắc clarify khi thiếu handle/url để giảm lỗi missing_info,case_accuracy,0.55,0.8947,runs/v1_B_base_groq_20260729T111124200985.json
v2,dlhdwan,system_prompt.md,v2,ed5bef0f7beece71fd294ca9069c9070ff3b92febbbe29e48592db54c8f97ec2,a2235b98b7dbe58400adab72e412f73c3dd95ec9ffd3d5b448e31d882a42a81b,gemini_model_switch,Chuyển sang Gemini 3.5 Flash Lite và ép ranh giới yes_no trước send,case_accuracy,0.8947,1.00,runs/v2_B_base_gemini_20260729T120525756241.json
v3,dlhdwan,system_prompt.md,v3,aeac4f92d838f2b63d4e502e1bb481819f10df31938b0f24230b659a23dbf8ac,2a3ba7c2b37100aa2fe54c8e4862dd2d4a4622310a220796a202c14b6fbead20,group_eval_optimizations,Ép tham số target_lang cho translate_text và carryover limit khi timeline,group_case_accuracy,0.70,1.00,runs/v3_B_group_gemini_20260729T122325678855.json
